academic_level_area_of_study_e,academic_level_area_of_study_f,program_of_study_e,program_of_study_f,program_length_e,program_length_f,duration_of_term_e,duration_of_term_f,institution_name_e,institution_name_f,contact,contact_email,program_type_e,program_type_f,specialization_e,specialization_f
College Certificate or Diploma (excluding Quebec)Computer Sciences,Certificat ou diplôme d'études collégiales (sauf au Québec)Sciences de l'informatique,Computer science technology 420,Technologie de l'informatique 420,3Year(s),3Année(s),7Week(s),7Semaine(s),Dawson College,Dawson College,Dirk Dubois,csinternships@dawsoncollege.qc.ca,Internship,Stages,Computer Science,Sciences informatiques
Diploma of College Studies,Diplôme d'études collégiales,Computer Sciences,Techniques de l'informatique,3Year(s),3Année(s),8Week(s),8Semaine(s),Collège de Rosemont,Collège de Rosemont,Xayasane  Bertrand,bxayasane@crosemont.qc.ca,Internship,Stages,Computer Science,Sciences informatiques
Diploma of College Studies,Diplôme d'études collégiales,Computer Sciences,Techniques de l'informatique,3Year(s),3Année(s),8Week(s),8Semaine(s),Collège de Rosemont,Collège de Rosemont,Xayasane  Bertrand,bxayasane@crosemont.qc.ca,Internship,Stages,Network Technology,Technologie de réseaux
Diploma of College StudiesComputer Sciences,Diplôme d'études collégialesSciences de l'informatique,Computer Science ,Science Informatique ,3Year(s),3Année(s),12-16Week(s),12-16Semaine(s),Cégep Heritage College,Cégep Heritage College,Sandra Ricci,sricci@cegep-heritage.qc.ca,CO-OP,Coopératif,Computer Science,Sciences informatiques
Diploma of College StudiesComputer Sciences,Diplôme d'études collégialesSciences de l'informatique,Computer Science ,Science Informatique ,3Year(s),3Année(s),12Week(s),12Semaine(s),Champlain College St-Lambert,Champlain College St-Lambert,Amin Ranj Bar,arbar@crcmail.net,CO-OP,Coopératif,Computer Science,Sciences informatiques
Diploma of College StudiesComputer Sciences,Diplôme d'études collégialesSciences de l'informatique,Computer science 420.CO,Informatique 420.CO,3Year(s),3Année(s),12Week(s),12Semaine(s),Cégep de Chicoutimi,Cégep de Chicoutimi,Carl  Archambault,carchambault@cchic.ca,CO-OP,Coopératif,Computer Science,Sciences informatiques
Diploma of College StudiesComputer Sciences,Diplôme d'études collégialesSciences de l'informatique,Computer science 420.RO,Informatique 420.RO,3Year(s),3Année(s),12Week(s),12Semaine(s),Cégep de Chicoutimi,Cégep de Chicoutimi,Carl  Archambault,carchambault@cchic.ca,CO-OP,Coopératif,Computer Science,Sciences informatiques
Diploma of College StudiesComputer Sciences,Diplôme d'études collégialesSciences de l'informatique,Computer science and Management,Informatique et gestion,3Year(s),3Année(s),12Week(s),12Semaine(s),Cégep de Matane,Cégep de Matane,Ken Bourgoin,bourgoink@cgmatane.qc.ca,CO-OP,Coopératif,Computer Science,Sciences informatiques
Diploma of College StudiesComputer Sciences,Diplôme d'études collégialesSciences de l'informatique,Computer science and Management,Informatique et gestion,3Year(s),3Année(s),12Week(s),12Semaine(s),Cégep de Matane,Cégep de Matane,Ken Bourgoin,bourgoink@cgmatane.qc.ca,CO-OP,Coopératif,Management,Gestion
Diploma of College StudiesComputer Sciences,Diplôme d'études collégialesSciences de l'informatique,Computer Science Technology (Internship),Techniques de l'informatique (Internat),3Year(s),3Année(s),15Week(s),15Semaine(s),Vanier College,Cégep Vanier,Andrea  Satin ,satina@vaniercollege.qc.ca,Internship,Stages,Computer Programming,Programmation informatique
Diploma of College StudiesComputer Sciences,Diplôme d'études collégialesSciences de l'informatique,Computer Science Technology (Internship),Techniques de l'informatique (Internat),3Year(s),3Année(s),15Week(s),15Semaine(s),Vanier College,Cégep Vanier,Andrea  Satin ,satina@vaniercollege.qc.ca,Internship,Stages,Web Development,Développement Web
Diploma of College StudiesComputer Sciences,Diplôme d'études collégialesSciences de l'informatique,Computer Science Technology,Techniques de l'informatique,3Year(s),3Année(s),15Week(s),15Semaine(s),Collège Montmorency,Collège Montmorency,Stlvain Labranche,sylvain.labranche@cmontmorency.qc.ca,Internship,Stages,Information Technology (IT),Technologie de l'information (TI)
Diploma of College StudiesComputer Sciences,Diplôme d'études collégialesSciences de l'informatique,Computer Science Technology,Techniques de l'informatique,3Year(s),3Année(s),15Week(s),15Semaine(s),Collège Montmorency,Collège Montmorency,Stlvain Labranche,sylvain.labranche@cmontmorency.qc.ca,Internship,Stages,Network Technology,Technologie de réseaux
Diploma of College StudiesComputer Sciences,Diplôme d'études collégialesSciences de l'informatique,Computer Science technology,Techniques de l'informatique,3Year(s),3Année(s),448Hour(s),448Heure(s),Cégep de Granby,Cégep de Granby,Julie Martin,jmartin@cegepgranby.qc.ca,Internship,Stages,Computer Programming,Programmation informatique
Diploma of College StudiesComputer Sciences,Diplôme d'études collégialesSciences de l'informatique,Computer Science Technology,Techniques de l'informatique,4Year(s),4Année(s),15Week(s),15Semaine(s),Collège O'Sullivan de Québec,Collège O'Sullivan de Québec,Mia Bernier,mibernier@osullivan-quebec.qc.ca,Internship,Stages,Computer Programming,Programmation informatique
Diploma of College StudiesComputer Sciences,Diplôme d'études collégialesSciences de l'informatique,Computer Science, Informatique ,3Year(s),3Année(s),8-12Week(s),8-12Semaine(s),Cégep de Valleyfield,Cégep de Valleyfield,Thomas Critchley,cc3e@cegepvalleyfield.ca,CO-OP,Coopératif,Computer Science,Sciences informatiques
Diploma of College StudiesInformation Technology,Diplôme d'études collégialesTechnologies de l'information,Computer Science Technology,Techniques de l'informatique,3Year(s),3Année(s),11Week(s),11Semaine(s),Cégep de Sainte-Foy,Cégep de Sainte-Foy,François  Gagnon,frgagnon@csfoy.ca,Internship,Stages,Computer Programming,Programmation informatique
Diploma of College StudiesInformation Technology,Diplôme d'études collégialesTechnologies de l'information,Computer Science Technology,Techniques de l'informatique,3Year(s),3Année(s),11Week(s),11Semaine(s),Cégep de Sainte-Foy,Cégep de Sainte-Foy,François  Gagnon,frgagnon@csfoy.ca,Internship,Stages,Information Technology (IT),Technologie de l'information (TI)
Diploma of Vocational Studies (Quebec only)Computer Sciences,Diplôme d'études professionnelles (au Québec seulement)Sciences de l'informatique,Computer Science  Technology,Techniques de l'informatique,3Year(s),3Année(s),8-12Week(s),8-12Semaine(s),Collège Lionel-Groulx,Collège Lionel-Groulx,Patricia Lavallée,patricia.lavallee1@clg.qc.ca,CO-OP,Coopératif,Computer Programming,Programmation informatique
Diploma of Vocational Studies (Quebec only)Computer Sciences,Diplôme d'études professionnelles (au Québec seulement)Sciences de l'informatique,Computer Science  Technology,Techniques de l'informatique,3Year(s),3Année(s),8-12Week(s),8-12Semaine(s),Collège Lionel-Groulx,Collège Lionel-Groulx,Patricia Lavallée,patricia.lavallee1@clg.qc.ca,CO-OP,Coopératif,Information Technology (IT),Technologie de l'information (TI)
